ANO,MES,SENADOR,VALOR_REEMBOLSADO,UF,QUOTA,PERCENTAGE
2008,2,ADELMIR SANTANA,14951.130000000001,,40256.17,37.14
2008,2,ALMEIDA LIMA,17962.1,,40256.17,44.62
2008,2,ALOIZIO MERCADANTE,8181.25,SP,37043.53,22.09
2008,2,ALVARO DIAS,12857.0,PR,38871.86,33.08
2008,2,ANTONIO CARLOS JUNIOR,11430.3,,40256.17,28.39
2008,2,ANTÔNIO CARLOS VALADARES,14412.82,SE,40139.26,35.91
2008,2,AUGUSTO BOTELHO,10992.529999999999,RR,45612.53,24.1
2008,2,CRISTOVAM BUARQUE,15000.0,DF,30788.66,48.72
2008,2,CÉSAR BORGES,12259.02,BA,39010.85,31.42
2008,2,CÍCERO LUCENA,14968.72,,40256.17,37.18
2008,2,DELCIDIO DO AMARAL,14959.82,,40256.17,37.16
2008,2,DEMÓSTENES TORRES,15000.0,GO,35507.06,42.25
2008,2,EDUARDO AZEREDO,14602.71,MG,36092.71,40.46
2008,2,EDUARDO SUPLICY,2636.19,SP,37043.53,7.12
2008,2,EFRAIM MORAIS,14977.67,PB,42032.56,35.63
2008,2,ELISEU RESENDE,12638.17,,40256.17,31.39
2008,2,EPITÁCIO CAFETEIRA,15000.0,MA,42151.69,35.59
2008,2,EXPEDITO JUNIOR,14000.0,,40256.17,34.78
2008,2,FERNANDO COLLOR,14859.92,,40256.17,36.91
2008,2,FLEXA RIBEIRO,13227.890000000001,PA,42227.45,31.33
2008,2,FLÁVIO ARNS,11710.04,PR,38871.86,30.12
2008,2,FRANCISCO DORNELLES,15098.65,,40256.17,37.51
2008,2,FÁTIMA CLEIDE,8324.09,RO,43672.49,19.06
2008,2,GARIBALDI ALVES FILHO,9723.3,RN,42731.99,22.75
2008,2,GERALDO MESQUITA JÚNIOR,6281.44,AC,44632.46,14.07
2008,2,GERSON CAMATA,4549.2300000000005,ES,37423.91,12.16
2008,2,GILVAM BORGES,15000.0,AP,43374.78,34.58
2008,2,GIM ARGELLO,2000.0,,40256.17,4.97
2008,2,HERÁCLITO FORTES,8040.120000000001,PI,40971.77,19.62
2008,2,IDELI SALVATTI,16105.17,SC,39877.78,40.39
2008,2,INÁCIO ARRUDA,15141.900000000001,,40256.17,37.61
2008,2,JARBAS VASCONCELOS,13389.49,,40256.17,33.26
2008,2,JAYME CAMPOS,14940.48,,40256.17,37.11
2008,2,JOSÉ AGRIPINO,19906.44,,40256.17,49.45
2008,2,JOSÉ MARANHÃO,6000.0,,40256.17,14.9
2008,2,JOSÉ NERY,11632.130000000001,,40256.17,28.9
2008,2,JOSÉ SARNEY,9600.0,AP,43374.78,22.13
2008,2,JOÃO DURVAL,12978.88,,40256.17,32.24
2008,2,JOÃO PEDRO,14968.33,,40256.17,37.18
2008,2,JOÃO RIBEIRO,5863.45,TO,39503.61,14.84
2008,2,JOÃO TENÓRIO,2400.0,,40256.17,5.96
2008,2,JOÃO VICENTE CLAUDINO,14417.17,,40256.17,35.81
2008,2,KÁTIA ABREU,15327.93,TO,39503.61,38.8
2008,2,LEOMAR QUINTANILHA,3782.2,TO,39503.61,9.57
2008,2,LOBÃO FILHO,15000.0,,40256.17,37.26
2008,2,LÚCIA VÂNIA,11581.52,GO,35507.06,32.62
2008,2,MAGNO MALTA,12051.21,ES,37423.91,32.2
2008,2,MARCELO CRIVELLA,15000.0,RJ,35759.97,41.95
2008,2,MARCONI PERILLO,14508.5,,40256.17,36.04
2008,2,MARIA DO CARMO ALVES,9752.48,SE,40139.26,24.3
2008,2,MARISA SERRANO,10430.38,,40256.17,25.91
2008,2,MOZARILDO CAVALCANTI,7164.47,RR,45612.53,15.71
2008,2,MÁRIO COUTO,13905.9,,40256.17,34.54
2008,2,MÃO SANTA,14823.68,PI,40971.77,36.18
2008,2,NEUTO DE CONTO,13862.380000000001,,40256.17,34.44
2008,2,OSMAR DIAS,13932.97,PR,38871.86,35.84
2008,2,PAPALÉO PAES,5489.1,AP,43374.78,12.66
2008,2,PATRÍCIA SABOYA GOMES,12163.28,,40256.17,30.21
2008,2,PAULO DUQUE,16883.17,,40256.17,41.94
