NOME,UF
ABDIAS DO NASCIMENTO,RJ
ADEMIR GALVÃO ANDRADE,PA
AELTON FREITAS,MG
AFFONSO CAMARGO NETO,PR
AFONSO ARINOS DE MELO FRANCO,RJ
AIRTON QUARESMA DE OLIVEIRA,AP
ALBANO FRANCO,SE
ALBERTO HOFFMANN,RS
ALBERTO TAVARES SILVA,PI
ALBINO BOAVENTURA,GO
ALCIDES FALCÃO,AL
ALEXANDRE ALVES COSTA,MA
ALFREDO JOSÉ DE CAMPOS MELO,MG
ALMIR GABRIEL,PA
ALOIZIO MERCADANTE,SP
ALUÍSIO BEZERRA DE OLIVEIRA,AC
ALVARO DIAS,PR
ÁLVARO DOS SANTOS PACHECO,PI
AMAZONINO MENDES,AM
AMIR LANDO,RO
ANA JÚLIA CAREPA,PA
ANTERO PAES DE BARROS,MT
ANTÔNIO ALVES DE QUEIROZ,GO
ANTÔNIO CARLOS MAGALHÃES,BA
ANTÔNIO CARLOS VALADARES,SE
ANTÔNIO DE ALMENDRA FREITAS NETO,PI
ANTÔNIO LUIZ MAIA,TO
ANTÔNIO MARIZ,PB
ARLINDO PORTO,MG
ARTHUR VIRGÍLIO NETO,AM
ARTUR DA TÁVOLA,RJ
AUGUSTO BOTELHO,RR
ÁUREO BRINGEL DE MELO,AM
BENEDITA DA SILVA,RJ
BENI VERAS,CE
BERNARDO CABRAL,AM
BLAIRO MAGGI,MT
CARLOS ALBERTO DE CARLI,AM
CARLOS ALBERTO DE SOUSA,RN
CARLOS BENIGNO PEREIRA DE LIRA NETO,AL
CARLOS BEZERRA,MT
CARLOS CHIARELLI,RS
CARLOS DO PATROCÍNIO SILVEIRA,TO
CARLOS WILSON ROCHA DE QUEIRÓS CAMPOS,PE
CASILDO MALDANER,SC
CÉSAR AUGUSTO DE SOUSA DIAS,RR
CÉSAR BORGES,BA
CID SABOIA DE CARVALHO,CE
CRISTOVAM BUARQUE,DF
DARCY RIBEIRO,RJ
DARIO PEREIRA DE MACEDO,RN
DELCÍDIO DO AMARAL,MS
DEMÓSTENES TORRES,GO
DIRCEU CARNEIRO,SC
DIVALDO SURUAGY,AL
DJALMA ALVES BESSA,BA
DJALMA FALCÃO,AL
EDGAR GODOY DA MATA MACHADO,MG
EDISON LOBÃO,MA
EDISON LOBÃO FILHO,MA
EDUARDO AZEREDO,MG
EDUARDO SIQUEIRA CAMPOS,TO
EDUARDO SUPLICY,SP
EFRAIM MORAIS,PB
ÉLCIO ÁLVARES,ES
EMÍLIA FERNANDES,RS
ENÉAS FARIA,PR
